2025-02-21 10:12:21 status half-installed unzip:amd64 6.0-26+deb11u1
2025-02-21 10:12:21 status triggers-pending man-db:amd64 2.9.4-2
2025-02-21 10:12:22 status unpacked unzip:amd64 6.0-26+deb11u1
2025-02-21 10:12:22 startup packages configure
2025-02-21 10:12:22 configure unzip:amd64 6.0-26+deb11u1 <none>
2025-02-21 10:12:22 status unpacked unzip:amd64 6.0-26+deb11u1
2025-02-21 10:12:22 status half-configured unzip:amd64 6.0-26+deb11u1
2025-02-21 10:12:22 status installed unzip:amd64 6.0-26+deb11u1
2025-02-21 10:12:22 trigproc man-db:amd64 2.9.4-2 <none>
2025-02-21 10:12:22 status half-configured man-db:amd64 2.9.4-2
2025-02-21 10:12:23 status installed man-db:amd64 2.9.4-2
2025-02-21 10:12:55 startup archives unpack
2025-02-21 10:12:55 install netfilter-persistent:all <none> 1.0.15
2025-02-21 10:12:55 status half-installed netfilter-persistent:all 1.0.15
2025-02-21 10:12:55 status triggers-pending man-db:amd64 2.9.4-2
2025-02-21 10:12:57 status unpacked netfilter-persistent:all 1.0.15
2025-02-21 10:12:58 startup packages configure
2025-02-21 10:12:58 configure netfilter-persistent:all 1.0.15 <none>
2025-02-21 10:12:58 status unpacked netfilter-persistent:all 1.0.15
2025-02-21 10:13:01 status half-configured netfilter-persistent:all 1.0.15
2025-02-21 10:13:02 status installed netfilter-persistent:all 1.0.15
2025-02-21 10:13:02 trigproc man-db:amd64 2.9.4-2 <none>
2025-02-21 10:13:02 status half-configured man-db:amd64 2.9.4-2
2025-02-21 10:13:03 status installed man-db:amd64 2.9.4-2
2025-02-21 10:13:04 startup archives unpack
2025-02-21 10:13:06 install iptables-persistent:all <none> 1.0.15
2025-02-21 10:13:06 status half-installed iptables-persistent:all 1.0.15
2025-02-21 10:13:06 status unpacked iptables-persistent:all 1.0.15
2025-02-21 10:13:06 startup packages configure
2025-02-21 10:13:06 configure iptables-persistent:all 1.0.15 <none>
2025-02-21 10:13:06 status unpacked iptables-persistent:all 1.0.15
2025-02-21 10:13:06 status half-configured iptables-persistent:all 1.0.15
2025-02-21 10:13:07 status installed iptables-persistent:all 1.0.15
2025-02-21 10:13:08 startup archives unpack
2025-02-21 10:13:08 install fail2ban:all <none> 0.11.2-2
2025-02-21 10:13:08 status half-installed fail2ban:all 0.11.2-2
2025-02-21 10:13:09 status triggers-pending man-db:amd64 2.9.4-2
2025-02-21 10:13:09 status unpacked fail2ban:all 0.11.2-2
2025-02-21 10:13:09 startup packages configure
2025-02-21 10:13:09 configure fail2ban:all 0.11.2-2 <none>
2025-02-21 10:13:09 status unpacked fail2ban:all 0.11.2-2
2025-02-21 10:13:11 status half-configured fail2ban:all 0.11.2-2
2025-02-21 10:13:12 status installed fail2ban:all 0.11.2-2
2025-02-21 10:13:12 trigproc man-db:amd64 2.9.4-2 <none>
2025-02-21 10:13:12 status half-configured man-db:amd64 2.9.4-2
2025-02-21 10:13:13 status installed man-db:amd64 2.9.4-2
2025-02-21 10:13:39 startup archives unpack
2025-02-21 10:13:39 install libfftw3-double3:amd64 <none> 3.3.8-2
2025-02-21 10:13:39 status triggers-pending libc-bin:amd64 2.31-13+deb11u11
2025-02-21 10:13:39 status half-installed libfftw3-double3:amd64 3.3.8-2
2025-02-21 10:13:39 status unpacked libfftw3-double3:amd64 3.3.8-2
2025-02-21 10:13:39 install fonts-dejavu-core:all <none> 2.37-2
2025-02-21 10:13:39 status half-installed fonts-dejavu-core:all 2.37-2
2025-02-21 10:13:40 status unpacked fonts-dejavu-core:all 2.37-2
2025-02-21 10:13:40 install fontconfig-config:all <none> 2.13.1-4.2
2025-02-21 10:13:40 status half-installed fontconfig-config:all 2.13.1-4.2
2025-02-21 10:13:40 status triggers-pending man-db:amd64 2.9.4-2
2025-02-21 10:13:40 status unpacked fontconfig-config:all 2.13.1-4.2
2025-02-21 10:13:40 install libfontconfig1:amd64 <none> 2.13.1-4.2
2025-02-21 10:13:40 status half-installed libfontconfig1:amd64 2.13.1-4.2
2025-02-21 10:13:40 status unpacked libfontconfig1:amd64 2.13.1-4.2
2025-02-21 10:13:40 install libaom0:amd64 <none> 1.0.0.errata1-3+deb11u2
2025-02-21 10:13:40 status half-installed libaom0:amd64 1.0.0.errata1-3+deb11u2
2025-02-21 10:13:41 status unpacked libaom0:amd64 1.0.0.errata1-3+deb11u2
2025-02-21 10:13:42 install libdav1d4:amd64 <none> 0.7.1-3+deb11u1
2025-02-21 10:13:42 status half-installed libdav1d4:amd64 0.7.1-3+deb11u1
2025-02-21 10:13:42 status unpacked libdav1d4:amd64 0.7.1-3+deb11u1
2025-02-21 10:13:43 install libde265-0:amd64 <none> 1.0.11-0+deb11u3
2025-02-21 10:13:43 status half-installed libde265-0:amd64 1.0.11-0+deb11u3
2025-02-21 10:13:43 status unpacked libde265-0:amd64 1.0.11-0+deb11u3
2025-02-21 10:13:44 install libnuma1:amd64 <none> 2.0.12-1+b1
2025-02-21 10:13:44 status half-installed libnuma1:amd64 2.0.12-1+b1
2025-02-21 10:13:45 status unpacked libnuma1:amd64 2.0.12-1+b1
2025-02-21 10:13:45 install libx265-192:amd64 <none> 3.4-2
2025-02-21 10:13:45 status half-installed libx265-192:amd64 3.4-2
2025-02-21 10:13:46 status unpacked libx265-192:amd64 3.4-2
